invoice_day,daily_revenue,total_orders,total_items_sold,unique_customers,day_of_week,month,week,year
2010-12-01,58776.79,127,26818,95,Wednesday,12,48,2010
2010-12-02,47629.42,142,31264,99,Thursday,12,48,2010
2010-12-03,46898.63,68,16158,50,Friday,12,48,2010
2010-12-04,0.0,0,0,0,Saturday,12,48,2010
2010-12-05,31364.63,88,16242,75,Sunday,12,48,2010
2010-12-06,54624.15,102,21619,82,Monday,12,49,2010
2010-12-07,99553.85,84,25180,65,Tuesday,12,49,2010
2010-12-08,45235.36,116,23041,99,Wednesday,12,49,2010
2010-12-09,53548.19,107,19898,90,Thursday,12,49,2010
2010-12-10,59021.02,77,20973,53,Friday,12,49,2010
2010-12-11,0.0,0,0,0,Saturday,12,49,2010
2010-12-12,17125.65,44,10537,42,Sunday,12,49,2010
2010-12-13,37942.37,70,17701,59,Monday,12,50,2010
2010-12-14,45167.56,90,20255,73,Tuesday,12,50,2010
2010-12-15,30384.37,74,18453,66,Wednesday,12,50,2010
2010-12-16,49114.14,121,29860,98,Thursday,12,50,2010
2010-12-17,45338.13,66,16935,51,Friday,12,50,2010
2010-12-18,0.0,0,0,0,Saturday,12,50,2010
2010-12-19,7410.47,23,3734,17,Sunday,12,50,2010
2010-12-20,26766.23,61,14914,41,Monday,12,51,2010
2010-12-21,47279.89,55,15605,23,Tuesday,12,51,2010
2010-12-22,6199.97,17,3080,13,Wednesday,12,51,2010
2010-12-23,12071.91,27,5752,15,Thursday,12,51,2010
2010-12-24,0.0,0,0,0,Friday,12,51,2010
2010-12-25,0.0,0,0,0,Saturday,12,51,2010
2010-12-26,0.0,0,0,0,Sunday,12,51,2010
2010-12-27,0.0,0,0,0,Monday,12,52,2010
2010-12-28,0.0,0,0,0,Tuesday,12,52,2010
2010-12-29,0.0,0,0,0,Wednesday,12,52,2010
2010-12-30,0.0,0,0,0,Thursday,12,52,2010
2010-12-31,0.0,0,0,0,Friday,12,52,2010
2011-01-01,0.0,0,0,0,Saturday,1,52,2011
2011-01-02,0.0,0,0,0,Sunday,1,52,2011
2011-01-03,0.0,0,0,0,Monday,1,1,2011
2011-01-04,16005.73,36,8630,34,Tuesday,1,1,2011
2011-01-05,32630.27,55,19769,45,Wednesday,1,1,2011
2011-01-06,40366.45,50,23124,45,Thursday,1,1,2011
2011-01-07,28836.59,53,17160,45,Friday,1,1,2011
2011-01-08,0.0,0,0,0,Saturday,1,1,2011
2011-01-09,15590.68,48,8125,48,Sunday,1,1,2011
2011-01-10,24553.07,39,12861,32,Monday,1,2,2011
2011-01-11,68630.54,58,28437,47,Tuesday,1,2,2011
2011-01-12,24664.579999999998,45,10606,42,Wednesday,1,2,2011
2011-01-13,20612.79,44,10171,41,Thursday,1,2,2011
2011-01-14,47554.58,47,23139,37,Friday,1,2,2011
2011-01-15,0.0,0,0,0,Saturday,1,2,2011
2011-01-16,6976.39,25,4086,22,Sunday,1,2,2011
2011-01-17,29262.72,51,13375,45,Monday,1,3,2011
2011-01-18,95947.73000000001,41,82964,31,Tuesday,1,3,2011
2011-01-19,25874.57,35,17354,33,Wednesday,1,3,2011
2011-01-20,21199.34,39,10475,30,Thursday,1,3,2011
2011-01-21,32636.55,39,15302,32,Friday,1,3,2011
2011-01-22,0.0,0,0,0,Saturday,1,3,2011
2011-01-23,10306.1,27,5200,27,Sunday,1,3,2011
2011-01-24,25494.49,53,11955,43,Monday,1,4,2011
2011-01-25,28952.55,67,15538,57,Tuesday,1,4,2011
2011-01-26,19855.92,56,10931,49,Wednesday,1,4,2011
2011-01-27,23624.3,52,11266,50,Thursday,1,4,2011
2011-01-28,20064.35,40,9842,36,Friday,1,4,2011
2011-01-29,0.0,0,0,0,Saturday,1,4,2011
2011-01-30,6542.61,24,3383,22,Sunday,1,4,2011
2011-01-31,23628.71,62,13406,50,Monday,1,5,2011
2011-02-01,29013.29,63,15814,57,Tuesday,2,5,2011
2011-02-02,21162.12,63,9706,55,Wednesday,2,5,2011
2011-02-03,23467.73,46,15712,44,Thursday,2,5,2011
2011-02-04,25135.84,52,12695,41,Friday,2,5,2011
2011-02-05,0.0,0,0,0,Saturday,2,5,2011
2011-02-06,3439.67,11,2036,11,Sunday,2,5,2011
2011-02-07,25922.97,42,9128,35,Monday,2,6,2011
2011-02-08,20935.23,45,10100,37,Tuesday,2,6,2011
2011-02-09,16682.63,29,7164,22,Wednesday,2,6,2011
2011-02-10,14853.31,41,11876,39,Thursday,2,6,2011
2011-02-11,22853.6,45,10520,34,Friday,2,6,2011
2011-02-12,0.0,0,0,0,Saturday,2,6,2011
2011-02-13,5645.48,20,2723,20,Sunday,2,6,2011
2011-02-14,26668.91,42,13567,36,Monday,2,7,2011
2011-02-15,39841.71,58,22669,47,Tuesday,2,7,2011
2011-02-16,24863.85,63,16117,56,Wednesday,2,7,2011
2011-02-17,26357.52,68,14413,50,Thursday,2,7,2011
2011-02-18,16184.42,39,9149,34,Friday,2,7,2011
2011-02-19,0.0,0,0,0,Saturday,2,7,2011
2011-02-20,9437.8,26,5218,26,Sunday,2,7,2011
2011-02-21,36311.4,38,21533,31,Monday,2,8,2011
2011-02-22,32454.5,52,21893,47,Tuesday,2,8,2011
2011-02-23,26859.5,63,13742,49,Wednesday,2,8,2011
2011-02-24,22800.89,55,11891,52,Thursday,2,8,2011
2011-02-25,20595.19,49,10572,42,Friday,2,8,2011
2011-02-26,0.0,0,0,0,Saturday,2,8,2011
2011-02-27,9382.71,33,4823,31,Sunday,2,8,2011
2011-02-28,21675.29,57,9873,49,Monday,2,9,2011
2011-03-01,26344.68,62,12137,52,Tuesday,3,9,2011
2011-03-02,18669.94,43,8612,40,Wednesday,3,9,2011
2011-03-03,36367.14,49,20075,46,Thursday,3,9,2011
2011-03-04,19486.88,49,13560,38,Friday,3,9,2011
2011-03-05,0.0,0,0,0,Saturday,3,9,2011
2011-03-06,9959.62,27,5027,24,Sunday,3,9,2011
2011-03-07,32318.72,68,14006,49,Monday,3,10,2011
2011-03-08,25035.12,48,14537,41,Tuesday,3,10,2011
2011-03-09,22013.2,53,11861,47,Wednesday,3,10,2011
